Row,Name,Region,Scientific Name,Sun Exposure,Rating,Description,Color,Blooming Period,Fruit Characteristics,Height,Width,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements,Image,Type,Size,Lilypad
0,Indian Paintbrush,0,Castilleja indivisa,"['sun', 'partial sun']",10,"Indian Paintbrush, a reseeding annual, is one of Texas' most widely recognized wildflowers. Its occurance is often accompanied by that of Bluebonnets (Lupinus spp.), one of the genera on which it is parasitic. The orange to red-orange flowers are its aesthetic feature. Steeped in Texas legend. Does not perform particularly well in cultivated gardens, best left as a wildflower.","{'orange', 'red', 'purple', 'yellow'}",{'spring'},FALSE,"[1, 2]","[1, 1.5]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/castille.jpg,['annual'],"['small', 'medium']",0.94349315
1,Texas Bluebonnet,0,Lupinus texensis,"['sun', 'partial sun']",10,"Texas Bluebonnets are one of six Lupinus spp. that are considered to be the Texas state flowers. While long valued as Texas' premier wildflower, creating seas of blue hillsides in spring, there has been a movement of late to plant bluebonnet seedlings as cool season bedding plants. Selection work by Texas A&M University Extension personnel has expanded the color range from blue to maroon (wouldn't you know it with Aggies involved), pink, or white.","{'blue', 'white', 'pink', 'maroon'}",{'spring'},FALSE,"[1.0, 1.5]","[1.5, 2.0]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/lupinus.jpg,['annual'],"['small', 'medium']",0.94349315
2,Goldenball Leadtree,0,Leucaena retusa,"['sun', 'partial sun']",10,Goldenball Leadtree is an underutilized Texas native small single or multi-stem tree. Used in West and South Texas as a small patio or courtyard tree. It casts a filtered shade and has outstanding bright yellow flowers spring to fall; largest flushes after rain events.,{'yellow'},"{'fall', 'spring', 'summer'}",FALSE,"[15, 25]","[15, 25]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucaena.jpg,['tree'],"['small', 'large']",0.97773973
3,"Texas Sage, Cenizo, or Texas Ranger",0,Leucophyllum frutescens,['sun'],10,"Texas Sage is perhaps the most widely planted of the native Trans Pecos plants in landscapes outside that region. Valued for its outstanding gray-green to siver-gray foliage and purple-pink flowers, it is suprisingly adapted to useage in much of the southern two thirds of Texas. A good semi-evergreen shrub with summer interest. Benefits from occasional pruning to enhance canopy density.","{'white', 'pink'}","{'fall', 'spring', 'summer'}",FALSE,"[4, 10]","[4, 6]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucophy.jpg,['shrub'],"['medium', 'large']",0.97773973
5,Violet Silverleaf,0,Leucophyllum candidum,['sun'],10,"Violet Silverleaf is very similar to Leucophyllum frutescens, but is perhaps even more attractive. The silver-gray to silver-white foliage is striking and is the perfect foil for the violet flowers that follow rain events. Smaller and denser plant than L. frutescens.",{'violet'},"{'fall', 'spring', 'summer'}",FALSE,"[2, 4]","[2, 4]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/leucophyllumcandidum.jpg,['shrub'],"['small', 'medium']",0.97773973
6,Bay Laurel,0,Laurus nobilis,"['sun', 'partial sun']",10,Bay Laurel is the classic laurel of antiquity used to fashion victory wreaths for ancient Greek and Roman generals and athletes. It also serves as a handsome upright growing evergreen larger shrub to small tree. The foliage is bay scented when crushed.,{'white'},{'spring'},FALSE,"[10, 20]","[8, 15]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/laurusnobilis4.jpg,"['shrub', 'tree']","['small', 'medium', 'large']",0.94863014
7,Creosote Bush,0,Larrea tridentata,['sun'],10,Creosote Bush is a trademark plant of the Southwestern USA. This evergreen arid region shrub covers many acres of otherwise non-vegetated land. It forms an irregular spreading to upright rounded small to medium size mound. Scent from the fragrant yellow flowers permeates the air following rain events. Difficult to grown in Central and East Texas.,{'yellow'},"{'fall', 'spring', 'summer'}",TRUE,"[3, 10]","[3, 6]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/larreatridentata.jpg,['shrub'],"['small', 'medium']",0.97773973
8,Eastern Redcedar,0,Juniperus virginiana,['sun'],10,"Juniperus virginiana is a variable coniferous species ranging from Canada to the Southern USA. Shape and foliage color vary, with clones selected that mature in height from 4 ft to 50 ft. Some individuals have blue berries from late spring to early autumn. Pollen of this species is a major contributor to alleries in some people. This species can be used for nearly every purpose that an evergreen can serve.",set(),{'spring'},TRUE,"[4, 50]","[8, 12]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/juniperusvirginiana12.jpg,"['groundcover', 'shrub', 'tree']","['small', 'medium', 'large']",0.94863014
9,Liriope or Lilyturf,0,Liriope muscari,"['sun', 'partial sun', 'shade']",10,Liriope forms a dense evergreen clump 8 inch to 18 inch tall and wide. Can be used on tight spacings as a groundcover or for edging or specialty work. Blue-purple to white flowers are more attractive than those of Ophiopogon spp. Better adapted to full sun locations in Texas than most Ophiopogon spp. Very versatile plant.,"{'blue', 'white'}",{'summer'},TRUE,"[0.6666666666666666, 1.5]","[0.6666666666666666, 1.5]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/liriope.jpg,"['perennial', 'groundcover']","['small', 'medium']",0.94349315
10,Winter Honeysuckle,0,Lonicera fragrantissima,"['sun', 'partial sun']",10,"Winter Honeysuckle is a deciduous shrub valued for its late winter to early spring fragrant flowers. While very durable, the shrub possesses little ornamental merit aside from the off-season flowers.",{'white'},"{'spring', 'winter'}",FALSE,"[6, 8]","[6, 8]",2,0,0,2,0,http://ekps.tamu.edu//images/plants/lonicerafrag2.jpg,['shrub'],"['medium', 'large']",0.96061644
